dbn,school_name,school_type,fam_comm_ties_rating,trust_rating,pct_pos_fam_comm_ties,pct_pos_trust,pct_ell,pct_disabilities,pct_self_contained,economic_need_index,pct_temp_housing,pct_hra_eligible,pct_asian,pct_black,pct_hispanic,pct_white,student_attendance_rate
32K145,P.S. 145 Andrew Jackson,Elementary,0.75,1.0,0.95,0.95,0.181,0.185,0.033,0.925,0.237,0.867,0.002,0.054,0.929,0.01,0.935
32K151,P.S. 151 Lyndon B. Johnson,Elementary,1.0,0.75,0.96,0.93,0.335,0.212,0.015,0.931,0.373,0.835,0.008,0.115,0.819,0.054,0.943
32K162,J.H.S. 162 The Willoughby,Middle,0.75,0.75,0.91,0.84,0.165,0.211,0.065,0.917,0.143,0.842,0.043,0.031,0.904,0.016,0.924
32K274,P.S. 274 Kosciusko,Elementary,1.0,1.0,0.95,0.97,0.254,0.238,0.102,0.896,0.313,0.814,0.009,0.13,0.814,0.028,0.917
32K291,J.H.S. 291 Roland Hayes,Middle,0.75,0.75,0.94,0.87,0.297,0.283,0.09,0.944,0.293,0.866,0.01,0.138,0.834,0.014,0.894
32K299,P.S. 299 Thomas Warren Field,Elementary,0.75,0.5,0.93,0.82,0.157,0.267,0.092,0.907,0.272,0.862,0,0.456,0.525,0.018,0.925
32K347,I.S. 347 School of Humanities,Middle,0.5,1.0,0.88,0.93,0.186,0.24,0.106,0.914,0.167,0.843,0.003,0.045,0.939,0.013,0.911
32K349,"I.S. 349 Math, Science & Tech.",Middle,0.75,0.75,0.88,0.82,0.198,0.223,0.104,0.925,0.18,0.869,0.006,0.131,0.851,0.009,0.924
32K376,P.S. 376,Elementary,0.75,1.0,0.93,0.95,0.152,0.138,0.021,0.793,0.127,0.689,0.023,0.085,0.843,0.038,0.94
32K377,P.S. 377 Alejandrina B. De Gautier,Elementary,0.75,0.75,0.96,0.88,0.133,0.289,0.156,0.824,0.126,0.756,0,0.244,0.748,0.007,0.916
32K383,J.H.S. 383 Philippa Schuyler,Middle,0.5,0.5,0.88,0.8,0.058,0.167,0.07,0.744,0.103,0.644,0.046,0.345,0.571,0.023,0.944
32K384,P.S. /I.S. 384 Frances E. Carter,K-8,0.75,1.0,0.94,0.94,0.265,0.29,0.158,0.899,0.145,0.84,0.006,0.118,0.87,0.004,0.917
32K554,All City Leadership Secondary School,Middle,1.0,1.0,0.96,0.95,0.022,0.072,0,0.645,0.061,0.522,0.083,0.067,0.694,0.15,0.974
32K562,Evergreen Middle School for Urban Exploration,Middle,0.75,1.0,0.93,0.93,0.165,0.23,0.057,0.904,0.246,0.843,0.008,0.219,0.754,0.019,0.949
